,Address,Price,Area,Room
0,other,685000.0,64.0,3
1,other,475000.0,60.0,3
2,other,850000.0,109.0,4
5,other,450000.0,53.0,2
8,other,399000.0,49.0,3
9,other,300000.0,33.0,2
10,other,540000.0,69.0,3
12,other,390000.0,45.0,3
14,other,650000.0,86.0,3
16,other,700000.0,102.0,6
20,other,1625000.0,199.0,6
21,other,575000.0,71.0,3
27,other,375000.0,51.0,3
28,other,1650000.0,235.0,7
29,other,325000.0,37.0,2
30,other,800000.0,98.0,3
31,other,1950000.0,258.0,4
32,other,735000.0,83.0,3
33,other,3925000.0,319.0,7
35,other,275000.0,31.0,2
37,other,570000.0,63.0,3
38,other,375000.0,43.0,2
40,other,365000.0,49.0,3
41,other,550000.0,62.0,3
43,other,429000.0,50.0,3
53,other,1185000.0,160.0,5
55,other,687500.0,86.0,4
56,other,585000.0,52.0,4
57,other,1295000.0,145.0,5
61,other,375000.0,52.0,4
63,other,850000.0,117.0,5
64,other,550000.0,72.0,3
69,other,369000.0,47.0,3
76,other,450000.0,56.0,3
81,other,650000.0,67.0,4
84,other,485000.0,73.0,4
85,other,225000.0,32.0,1
86,other,285000.0,29.0,2
87,other,995000.0,97.0,2
88,other,1475000.0,220.0,5
89,other,475000.0,60.0,3
93,other,400000.0,37.0,2
95,other,400000.0,53.0,3
100,other,500000.0,67.0,3
102,other,725000.0,95.0,3
103,other,4550000.0,497.0,13
107,other,475000.0,58.0,3
108,other,450000.0,53.0,2
110,other,475000.0,62.0,3
115,other,340000.0,35.0,2
123,other,975000.0,165.0,5
125,other,1100000.0,159.0,5
126,other,750000.0,102.0,3
127,other,439000.0,55.0,3
133,other,915000.0,88.0,5
136,other,1025000.0,135.0,4
142,other,1175000.0,159.0,7
143,other,995000.0,113.0,3
150,other,525000.0,64.0,4
154,other,360000.0,41.0,2
155,other,1050000.0,154.0,4
157,other,1700000.0,194.0,6
160,other,469000.0,50.0,3
161,other,625000.0,74.0,3
162,other,1050000.0,149.0,8
163,other,540000.0,79.0,4
171,other,1300000.0,141.0,4
172,other,1750000.0,130.0,3
173,other,950000.0,109.0,4
174,other,1450000.0,150.0,3
177,other,1500000.0,166.0,4
179,other,4495000.0,178.0,5
180,other,989000.0,171.0,5
181,other,765000.0,100.0,4
184,"Huidekoperstraat 24 F, Amsterdam",2475000.0,183.0,4
188,other,450000.0,45.0,2
190,other,350000.0,39.0,2
193,other,1295000.0,154.0,4
194,other,825000.0,103.0,3
195,other,5950000.0,394.0,10
198,other,1450000.0,125.0,2
200,other,1200000.0,105.0,4
201,other,1550000.0,153.0,5
202,other,1250000.0,147.0,4
204,other,395000.0,54.0,3
205,other,935000.0,85.0,3
206,other,1050000.0,63.0,3
207,other,729000.0,110.0,5
210,other,400000.0,25.0,2
212,other,950000.0,133.0,7
213,other,975000.0,93.0,3
218,other,1275000.0,165.0,5
219,other,375000.0,38.0,1
220,other,1595000.0,199.0,6
221,other,439000.0,48.0,2
222,other,785000.0,95.0,5
224,other,595000.0,78.0,3
225,other,875000.0,117.0,3
226,other,295000.0,29.0,2
228,other,439000.0,57.0,3
230,other,275000.0,23.0,1
231,other,2450000.0,259.0,8
233,other,1795000.0,158.0,6
234,other,835000.0,120.0,5
235,other,985000.0,111.0,5
237,other,635000.0,58.0,3
239,other,1050000.0,151.0,4
241,other,1099000.0,165.0,5
242,other,895000.0,103.0,3
243,"Uilengouw 2, Amsterdam",899000.0,258.0,1
246,other,750000.0,119.0,6
252,other,685000.0,94.0,3
253,other,2200000.0,198.0,7
254,other,650000.0,81.0,3
256,other,1200000.0,81.0,3
257,other,1495000.0,214.0,5
259,other,1000000.0,117.0,4
260,other,1150000.0,162.0,5
261,other,2250000.0,250.0,8
262,other,1350000.0,173.0,5
263,other,1650000.0,232.0,9
264,other,2750000.0,309.0,8
267,other,669000.0,107.0,5
269,other,425000.0,49.0,2
272,other,389000.0,30.0,2
274,other,1750000.0,246.0,8
276,other,3500000.0,374.0,7
279,other,1700000.0,203.0,5
280,other,2325000.0,150.0,6
281,other,1495000.0,175.0,6
282,other,549000.0,91.0,5
283,other,1375000.0,115.0,3
284,other,1250000.0,165.0,7
287,"Huidekoperstraat 24 F, Amsterdam",2475000.0,183.0,3
289,other,1695000.0,117.0,3
291,other,1095000.0,134.0,3
292,other,2500000.0,202.0,6
294,other,700000.0,88.0,5
296,other,1149000.0,141.0,6
299,other,950000.0,94.0,1
301,other,3680000.0,374.0,4
303,other,750750.0,114.0,4
304,other,1400000.0,213.0,7
305,other,4900000.0,623.0,13
306,other,899000.0,128.0,5
307,other,895000.0,95.0,3
308,other,1695000.0,467.0,14
309,other,1085000.0,131.0,5
310,other,300000.0,30.0,3
311,other,649000.0,82.0,3
312,other,785000.0,105.0,5
314,other,1395000.0,133.0,3
315,other,795000.0,102.0,3
316,other,1200000.0,121.0,4
320,"Uilengouw 2, Amsterdam",1249000.0,258.0,5
326,other,485000.0,109.0,1
327,other,1599000.0,139.0,5
334,other,3500000.0,348.0,8
336,other,750000.0,124.0,5
338,other,525000.0,63.0,3
340,other,450000.0,60.0,4
341,other,425000.0,54.0,3
342,other,699000.0,108.0,6
344,other,1150000.0,150.0,5
345,other,1250000.0,131.0,4
346,other,1450000.0,158.0,4
347,other,240000.0,26.0,1
349,other,425000.0,56.0,3
351,other,485000.0,59.0,3
352,other,1200000.0,166.0,5
358,other,725000.0,87.0,4
362,other,250000.0,28.0,1
366,other,430000.0,58.0,3
367,other,485000.0,65.0,3
369,other,550000.0,61.0,3
371,other,250000.0,29.0,2
381,other,235000.0,26.0,2
384,other,1400000.0,153.0,4
388,other,675000.0,93.0,4
391,other,300000.0,35.0,1
393,other,300000.0,35.0,2
394,other,910000.0,136.0,5
396,other,775000.0,93.0,3
404,other,650000.0,70.0,3
405,other,450000.0,56.0,4
413,other,440000.0,59.0,3
425,other,450000.0,53.0,2
428,other,395000.0,42.0,2
435,other,325000.0,35.0,2
436,other,590000.0,76.0,4
439,other,900000.0,128.0,4
441,other,825000.0,100.0,3
443,other,685000.0,91.0,4
444,other,610000.0,77.0,4
460,other,545000.0,61.0,2
461,other,550000.0,66.0,2
464,other,360000.0,49.0,3
470,other,750000.0,116.0,4
471,other,1000000.0,122.0,5
472,other,825000.0,112.0,5
476,other,389000.0,61.0,1
478,other,800000.0,123.0,6
483,other,775000.0,117.0,4
488,other,385000.0,49.0,3
489,other,875000.0,96.0,5
490,other,500000.0,52.0,2
491,other,900000.0,120.0,5
499,other,400000.0,47.0,2
506,other,625000.0,75.0,3
516,other,375000.0,44.0,2
524,other,625000.0,72.0,4
531,other,525000.0,69.0,3
532,other,725000.0,88.0,4
537,other,425000.0,48.0,2
541,other,695000.0,88.0,3
545,other,395000.0,44.0,2
552,other,535000.0,75.0,4
554,other,490000.0,62.0,3
556,other,425000.0,58.0,3
558,other,425000.0,58.0,3
560,other,625000.0,77.0,4
562,other,950000.0,148.0,7
563,other,350000.0,41.0,2
568,other,230000.0,28.0,1
569,other,395000.0,53.0,3
570,other,365000.0,40.0,2
571,other,698000.0,89.0,5
577,other,730000.0,89.0,3
578,other,325000.0,48.0,4
582,other,775000.0,126.0,5
584,other,400000.0,54.0,3
591,other,425000.0,50.0,2
594,other,1170000.0,121.0,2
595,other,520000.0,69.0,3
604,other,525000.0,70.0,3
608,other,175000.0,28.0,1
615,other,270000.0,38.0,1
616,other,325000.0,44.0,3
619,other,1150000.0,163.0,7
626,other,500000.0,64.0,3
627,other,875000.0,108.0,4
630,other,875000.0,123.0,4
631,other,930000.0,123.0,4
632,other,725000.0,101.0,4
637,other,350000.0,46.0,3
643,other,850000.0,123.0,7
645,other,425000.0,49.0,3
646,other,1090000.0,149.0,3
649,other,700000.0,79.0,3
651,other,695000.0,107.0,4
652,other,825000.0,97.0,4
659,other,550000.0,72.0,3
661,other,750000.0,111.0,4
663,other,1750000.0,212.0,4
666,other,1100000.0,147.0,4
673,other,625000.0,95.0,5
674,other,399000.0,40.0,2
677,other,675000.0,84.0,4
679,other,600000.0,82.0,4
681,other,575000.0,82.0,4
683,other,500000.0,62.0,3
685,other,1775000.0,177.0,9
686,other,525000.0,63.0,3
691,other,760000.0,90.0,4
693,other,675000.0,75.0,3
702,other,1325000.0,150.0,5
713,other,595000.0,73.0,3
714,other,995000.0,127.0,4
718,other,585000.0,75.0,3
721,other,475000.0,54.0,2
722,other,425000.0,57.0,3
724,other,560000.0,73.0,3
726,other,1150000.0,144.0,6
728,other,1250000.0,149.0,6
731,other,1025000.0,125.0,3
741,other,340000.0,44.0,3
744,other,700000.0,103.0,4
748,other,600000.0,83.0,4
749,other,675000.0,72.0,3
754,other,800000.0,130.0,5
758,other,495000.0,54.0,3
761,other,525000.0,70.0,3
763,other,620000.0,86.0,4
769,other,1575000.0,138.0,4
775,other,640000.0,58.0,3
776,other,645000.0,58.0,3
780,other,400000.0,46.0,1
785,other,1100000.0,136.0,3
787,other,375000.0,43.0,2
789,"Nieuwevaartweg, Amsterdam",1325000.0,162.0,4
794,other,635000.0,81.0,3
795,other,1120000.0,129.0,5
804,other,790000.0,90.0,3
813,other,800000.0,107.0,3
815,other,875000.0,135.0,5
816,other,575000.0,78.0,3
817,other,700000.0,76.0,4
819,other,750000.0,102.0,5
823,other,345000.0,34.0,2
826,other,385000.0,37.0,2
827,other,375000.0,35.0,2
829,other,1200000.0,171.0,4
833,other,475000.0,62.0,4
834,other,685000.0,78.0,3
835,other,550000.0,57.0,2
837,other,5850000.0,480.0,14
841,other,825000.0,98.0,4
844,other,1050000.0,119.0,5
846,other,375000.0,63.0,5
847,other,1150000.0,145.0,5
849,other,1450000.0,124.0,5
850,other,850000.0,90.0,3
851,other,750000.0,114.0,4
856,other,1250000.0,157.0,4
861,other,475000.0,61.0,3
863,other,790000.0,109.0,5
864,other,650000.0,77.0,3
872,other,400000.0,53.0,3
873,other,425000.0,55.0,3
876,other,360000.0,42.0,3
878,other,375000.0,45.0,2
881,other,375000.0,45.0,2
884,"Nieuwevaartweg, Amsterdam",650000.0,87.0,4
887,other,550000.0,81.0,5
891,other,1000000.0,120.0,3
896,other,615000.0,95.0,4
898,other,275000.0,31.0,2
900,other,199000.0,21.0,1
901,other,685000.0,80.0,3
902,other,1300000.0,139.0,5
906,other,1250000.0,180.0,9
908,"Quashibastraat, Amsterdam",348738.0,79.0,4
909,"Quashibastraat, Amsterdam",348738.0,79.0,4
910,other,1698000.0,205.0,5
914,other,849000.0,111.0,5
916,other,525000.0,59.0,4
917,other,1500000.0,194.0,9
918,"Ringdijk, Amsterdam",295000.0,41.0,1
919,"Ringdijk, Amsterdam",750000.0,117.0,1
